"Trial","Bay","Block","Row","Range","Expt","Name","Damage_Level","Experiment_Number"
"15NFNB","D",1,93,10,"Control","VB9613",8,1
"15NFNB","D",1,94,10,"CAIGE","13:ZIB14",5,1
"15NFNB","D",1,95,10,"CAIGE","14:ZIB14",3,1
"15NFNB","D",1,96,10,"Control","Bass",6,1
"15NFNB","D",1,73,12,"Control","VB9613",8,1
"15NFNB","D",1,74,12,"CAIGE","16:ZIB14",2,1
"15NFNB","D",1,75,12,"CAIGE","17:ZIB14",2,1
"15NFNB","D",1,76,12,"CAIGE","18:ZIB14",1,1
"15NFNB","D",1,77,12,"Control","VB9613",8,1
"15NFNB","D",1,78,12,"CAIGE","19:ZIB14",3,1
"15NFNB","D",1,79,12,"CAIGE","20:ZIB14",2,1
"15NFNB","D",1,80,12,"CAIGE","21:ZIB14",2,1
"15NFNB","D",1,81,12,"Control","VB9613",8,1
"15NFNB","D",1,82,12,"CAIGE","22:ZIB14",5,1
"15NFNB","D",1,83,12,"CAIGE","23:ZIB14",2,1
"15NFNB","D",1,84,12,"CAIGE","24:ZIB14",2,1
"15NFNB","D",1,85,12,"Control","Compass",4,1
"15NFNB","D",1,86,12,"CAIGE","2:ZID14",2,1
"15NFNB","D",1,87,12,"CAIGE","3:ZID14",2,1
"15NFNB","D",1,88,12,"CAIGE","4:ZID14",2,1
"15NFNB","D",1,89,12,"Control","Compass",3,1
"15NFNB","D",1,90,12,"CAIGE","5:ZID14",2,1
"15NFNB","D",1,91,12,"CAIGE","6:ZID14",2,1
"15NFNB","D",1,92,12,"CAIGE","7:ZID14",2,1
"15NFNB","D",1,93,12,"Control","VB9613",8,1
"15NFNB","D",1,94,12,"CAIGE","8:ZID14",2,1
"15NFNB","D",1,95,12,"CAIGE","9:ZID14",2,1
"15NFNB","D",1,96,12,"Control","Bass",7,1
"15NFNB","D",1,73,13,"Control","VB9613",8,1
"15NFNB","D",1,74,13,"CAIGE","10:ZID14",2,1
"15NFNB","D",1,75,13,"CAIGE","11:ZID14",2,1
"15NFNB","D",1,76,13,"CAIGE","12:ZID14",2,1
"15NFNB","D",1,77,13,"Control","Bass",6,1
"15NFNB","D",1,78,13,"CAIGE","13:ZID14",2,1
"15NFNB","D",1,79,13,"CAIGE","14:ZID14",2,1
"15NFNB","D",1,80,13,"CAIGE","15:ZID14",7,1
"15NFNB","D",1,81,13,"Control","VB9613",8,1
"15NFNB","D",1,82,13,"CAIGE","16:ZID14",2,1
"15NFNB","D",1,83,13,"CAIGE","17:ZID14",3,1
"15NFNB","D",1,84,13,"CAIGE","18:ZID14",3,1
"15NFNB","D",1,85,13,"Control","VB9613",8,1
"15NFNB","D",1,86,13,"CAIGE","19:ZID14",2,1
"15NFNB","D",1,87,13,"CAIGE","22:ZID14",2,1
"15NFNB","D",1,88,13,"CAIGE","23:ZID14",8,1
"15NFNB","D",1,89,13,"Control","VB9613",8,1
"15NFNB","D",1,90,13,"CAIGE","24:ZID14",2,1
"15NFNB","D",1,91,13,"CAIGE","25:ZID14",2,1
"15NFNB","D",1,92,13,"CAIGE","26:ZID14",2,1
"15NFNB","D",1,93,13,"Control","VB9613",8,1
"15NFNB","D",1,94,13,"CAIGE","27:ZID14",2,1
"15NFNB","D",1,95,13,"CAIGE","28:ZID14",3,1
"15NFNB","D",1,96,13,"Control","VB9613",8,1
"15NFNB","D",1,73,14,"Control","VB9613",8,1
"15NFNB","D",1,74,14,"CAIGE","29:ZID14",2,1
"15NFNB","D",1,75,14,"CAIGE","31:ZID14",3,1
"15NFNB","D",1,76,14,"CAIGE","32:ZID14",2,1
"15NFNB","D",1,77,14,"Control","VB9613",8,1
"15NFNB","D",1,78,14,"CAIGE","33:ZID14",2,1
"15NFNB","D",1,79,14,"CAIGE","34:ZID14",2,1
"15NFNB","D",1,80,14,"CAIGE","35:ZID14",2,1
"15NFNB","D",1,81,14,"Control","Compass",5,1
"15NFNB","D",1,82,14,"CAIGE","36:ZID14",3,1
"15NFNB","D",1,83,14,"CAIGE","37:ZID14",2,1
"15NFNB","D",1,84,14,"CAIGE","38:ZID14",1,1
"15NFNB","D",1,85,14,"Control","VB9613",8,1
"15NFNB","D",1,86,14,"CAIGE","39:ZID14",3,1
"15NFNB","D",1,87,14,"CAIGE","41:ZID14",2,1
"15NFNB","D",1,88,14,"CAIGE","42:ZID14",2,1
"15NFNB","D",1,89,14,"Control","VB9613",8,1
"15NFNB","D",1,90,14,"CAIGE","43:ZID14",2,1
"15NFNB","D",1,91,14,"CAIGE","44:ZID14",2,1
"15NFNB","D",1,92,14,"CAIGE","45:ZID14",3,1
"15NFNB","D",1,93,14,"Control","VB9613",7,1
"15NFNB","D",1,94,14,"CAIGE","46:ZID14",3,1
"15NFNB","D",1,95,14,"CAIGE","47:ZID14",2,1
"15NFNB","D",1,96,14,"Control","VB9613",8,1
"15NFNB","D",1,73,15,"Control","VB9613",8,1
"15NFNB","D",1,74,15,"CAIGE","48:ZID14",5,1
"15NFNB","D",1,75,15,"CAIGE","49:ZID14",3,1
"15NFNB","D",1,76,15,"CAIGE","51:ZID14",2,1
"15NFNB","D",1,77,15,"Control","VB9613",8,1
"15NFNB","D",1,78,15,"CAIGE","52:ZID14",3,1
"15NFNB","D",1,79,15,"CAIGE","53:ZID14",6,1
"15NFNB","D",1,80,15,"CAIGE","54:ZID14",4,1
"15NFNB","D",1,81,15,"Control","VB9613",8,1
"15NFNB","D",1,82,15,"CAIGE","55:ZID14",2,1
"15NFNB","D",1,83,15,"CAIGE","57:ZID14",4,1
"15NFNB","D",1,84,15,"CAIGE","58:ZID14",2,1
"15NFNB","D",1,85,15,"Control","VB9613",8,1
"15NFNB","D",1,86,15,"CAIGE","59:ZID14",2,1
"15NFNB","D",1,87,15,"CAIGE","61:ZID14",2,1
"15NFNB","D",1,88,15,"CAIGE","62:ZID14",2,1
"15NFNB","D",1,89,15,"Control","La Trobe",2,1
"15NFNB","D",1,90,15,"CAIGE","63:ZID14",1,1
"15NFNB","D",1,91,15,"CAIGE","64:ZID14",1,1
"15NFNB","D",1,92,15,"CAIGE","65:ZID14",1,1
"15NFNB","D",1,93,15,"Control","VB9613",8,1
"15NFNB","D",1,94,15,"CAIGE","66:ZID14",2,1
"15NFNB","D",1,95,15,"CAIGE","67:ZID14",2,1
"15NFNB","D",1,96,15,"Control","Flinders",3,1
"15NFNB","D",1,73,16,"Control","VB9613",8,1
"15NFNB","D",1,74,16,"CAIGE","68:ZID14",2,1
"15NFNB","D",1,75,16,"CAIGE","69:ZID14",2,1
"15NFNB","D",1,76,16,"CAIGE","71:ZID14",3,1
"15NFNB","D",1,77,16,"Control","VB9613",8,1
"15NFNB","D",1,78,16,"CAIGE","72:ZID14",4,1
"15NFNB","D",1,79,16,"CAIGE","73:ZID14",3,1
"15NFNB","D",1,80,16,"CAIGE","74:ZID14",4,1
"15NFNB","D",1,81,16,"Control","VB9613",8,1
"15NFNB","D",1,82,16,"CAIGE","75:ZID14",4,1
"15NFNB","D",1,83,16,"CAIGE","76:ZID14",4,1
"15NFNB","D",1,84,16,"CAIGE","77:ZID14",3,1
"15NFNB","D",1,85,16,"Control","VB9613",8,1
"15NFNB","D",1,86,16,"CAIGE","79:ZID14",3,1
"15NFNB","D",1,87,16,"CAIGE","81:ZID14",1,1
"15NFNB","D",1,88,16,"CAIGE","82:ZID14",4,1
"15NFNB","D",1,89,16,"Control","Fathom",6,1
"15NFNB","D",1,90,16,"CAIGE","83:ZID14",3,1
"15NFNB","D",1,91,16,"CAIGE","84:ZID14",3,1
"15NFNB","D",1,92,16,"CAIGE","85:ZID14",2,1
"15NFNB","D",1,93,16,"Control","VB9613",8,1
"15NFNB","D",1,94,16,"CAIGE","86:ZID14",3,1
"15NFNB","D",1,95,16,"CAIGE","87:ZID14",2,1
"15NFNB","D",1,96,16,"Control","VB9613",8,1
"15NFNB","D",1,73,17,"Control","VB9613",8,1
"15NFNB","D",1,74,17,"CAIGE","88:ZID14",2,1
"15NFNB","D",1,75,17,"CAIGE","89:ZID14",1,1
"15NFNB","D",1,76,17,"CAIGE","91:ZID14",2,1
"15NFNB","D",1,77,17,"Control","VB9613",8,1
"15NFNB","D",1,78,17,"CAIGE","92:ZID14",3,1
"15NFNB","D",1,79,17,"CAIGE","93:ZID14",2,1
"15NFNB","D",1,80,17,"CAIGE","94:ZID14",2,1
"15NFNB","D",1,81,17,"Control","Bass",6,1
"15NFNB","D",1,82,17,"CAIGE","95:ZID14",2,1
"15NFNB","D",1,83,17,"CAIGE","96:ZID14",2,1
"15NFNB","D",1,84,17,"CAIGE","97:ZID14",3,1
"15NFNB","D",1,85,17,"Control","VB9613",8,1
"15NFNB","D",1,86,17,"CAIGE","98:ZID14",2,1
"15NFNB","D",1,87,17,"CAIGE","99:ZID14",2,1
"15NFNB","D",1,88,17,"CAIGE","101:ZID14",3,1
"15NFNB","D",1,89,17,"Control","Commander",4,1
"15NFNB","D",1,90,17,"CAIGE","102:ZID14",3,1
"15NFNB","D",1,91,17,"CAIGE","103:ZID14",2,1
"15NFNB","D",1,92,17,"CAIGE","104:ZID14",3,1
"15NFNB","D",1,93,17,"Control","VB9613",8,1
"15NFNB","D",1,94,17,"CAIGE","105:ZID14",2,1
"15NFNB","D",1,95,17,"CAIGE","107:ZID14",2,1
"15NFNB","D",1,96,17,"Control","Compass",4,1
"15NFNB","D",1,73,18,"Control","Flinders",5,1
"15NFNB","D",1,74,18,"CAIGE","108:ZID14",2,1
"15NFNB","D",1,75,18,"CAIGE","109:ZID14",1,1
"15NFNB","D",1,76,18,"CAIGE","111:ZID14",1,1
"15NFNB","D",1,77,18,"Control","VB9613",7,1
"15NFNB","D",1,78,18,"CAIGE","112:ZID14",2,1
"15NFNB","D",1,79,18,"CAIGE","113:ZID14",2,1
"15NFNB","D",1,80,18,"CAIGE","115:ZID14",3,1
"15NFNB","D",1,81,18,"Control","VB9613",8,1
"15NFNB","D",1,82,18,"CAIGE","116:ZID14",2,1
"15NFNB","D",1,83,18,"CAIGE","117:ZID14",2,1
"15NFNB","D",1,84,18,"CAIGE","121:ZID14",3,1
"15NFNB","D",1,85,18,"Control","VB9613",8,1
"15NFNB","D",1,86,18,"CAIGE","122:ZID14",7,1
"15NFNB","D",1,87,18,"CAIGE","123:ZID14",5,1
"15NFNB","D",1,88,18,"CAIGE","124:ZID14",4,1
"15NFNB","D",1,89,18,"Control","VB9613",8,1
"15NFNB","D",1,90,18,"CAIGE","128:ZID14",4,1
"15NFNB","D",1,91,18,"CAIGE","129:ZID14",1,1
"15NFNB","D",1,92,18,"CAIGE","131:ZID14",2,1
"15NFNB","D",1,93,18,"Control","VB9613",8,1
"15NFNB","D",1,94,18,"CAIGE","132:ZID14",7,1
"15NFNB","D",1,95,18,"CAIGE","133:ZID14",6,1
"15NFNB","D",1,96,18,"Control","VB9613",8,1
"15NFNB","D",1,73,19,"Control","VB9613",8,1
"15NFNB","D",1,74,19,"CAIGE","134:ZID14",1,1
"15NFNB","D",1,75,19,"CAIGE","135:ZID14",1,1
"15NFNB","D",1,76,19,"CAIGE","136:ZID14",1,1
"15NFNB","D",1,77,19,"Control","VB9613",8,1
"15NFNB","D",1,78,19,"CAIGE","137:ZID14",3,1
"15NFNB","D",1,79,19,"CAIGE","138:ZID14",1,1
"15NFNB","D",1,80,19,"CAIGE","139:ZID14",1,1
"15NFNB","D",1,81,19,"Control","VB9613",8,1
"15NFNB","D",1,82,19,"CAIGE","141:ZID14",1,1
"15NFNB","D",1,83,19,"CAIGE","142:ZID14",1,1
"15NFNB","D",1,84,19,"CAIGE","143:ZID14",4,1
"15NFNB","D",1,85,19,"Control","Bass",7,1
"15NFNB","D",1,86,19,"CAIGE","144:ZID14",4,1
"15NFNB","D",1,87,19,"CAIGE","145:ZID14",3,1
"15NFNB","D",1,88,19,"CAIGE","147:ZID14",1,1
"15NFNB","D",1,89,19,"Control","Commander",4,1
"15NFNB","D",1,90,19,"CAIGE","148:ZID14",1,1
"15NFNB","D",1,91,19,"CAIGE","149:ZID14",1,1
"15NFNB","D",1,92,19,"CAIGE","Rihane-03",1,1
"15NFNB","D",1,93,19,"Control","VB9613",8,1
"15NFNB","D",1,94,19,"CAIGE","Parent19",2,1
"NFNB '16","A",1,1,15,"Control","VB9613",9,6
"NFNB '16","A",1,3,15,"CAIGE 1","3:LAN15",3,6
"NFNB '16","A",1,5,15,"Control","Gairdner",5,6
"NFNB '16","A",1,6,15,"CAIGE 1","6:LAN15",2,6
"NFNB '16","A",1,7,15,"CAIGE 1","7:LAN15",7,6
"NFNB '16","A",1,8,15,"CAIGE 1","8:LAN15",3,6
"NFNB '16","A",1,9,15,"Control","Flinders",3,6
"NFNB '16","A",1,10,15,"CAIGE 1","10:LAN15",3,6
"NFNB '16","A",1,11,15,"CAIGE 1","13:LAN15",2,6
"NFNB '16","A",1,12,15,"CAIGE 1","14:LAN15",2,6
"NFNB '16","A",1,13,15,"Control","Bass",8,6
"NFNB '16","A",1,14,15,"CAIGE 1","16:LAN15",2,6
"NFNB '16","A",1,17,15,"Control","Bass",8,6
"NFNB '16","A",1,19,15,"CAIGE 1","22:LAN15",2,6
"NFNB '16","A",1,20,15,"CAIGE 1","23:LAN15",2,6
"NFNB '16","A",1,21,15,"Control","VB9613",9,6
"NFNB '16","A",1,22,15,"CAIGE 1","25:LAN15",2,6
"NFNB '16","A",1,23,15,"CAIGE 1","1:ZBS15",2,6
"NFNB '16","A",1,1,16,"Control","Fathom",6,6
"NFNB '16","A",1,2,16,"CAIGE 1","3:ZBS15",2,6
"NFNB '16","A",1,3,16,"CAIGE 1","4:ZBS15",2,6
"NFNB '16","A",1,4,16,"CAIGE 1","5:ZBS15",5,6
"NFNB '16","A",1,5,16,"Control","La Trobe",8,6
"NFNB '16","A",1,6,16,"CAIGE 1","6:ZBS15",3,6
"NFNB '16","A",1,7,16,"CAIGE 1","7:ZBS15",2,6
"NFNB '16","A",1,8,16,"CAIGE 1","8:ZBS15",2,6
"NFNB '16","A",1,9,16,"Control","Fathom",6,6
"NFNB '16","A",1,10,16,"CAIGE 1","9:ZBS15",9,6
"NFNB '16","A",1,11,16,"CAIGE 1","10:ZBS15",2,6
"NFNB '16","A",1,12,16,"CAIGE 1","11:ZBS15",2,6
"NFNB '16","A",1,13,16,"Control","VB9613",9,6
"NFNB '16","A",1,14,16,"CAIGE 1","12:ZBS15",2,6
"NFNB '16","A",1,15,16,"CAIGE 1","16:ZBS15",3,6
"NFNB '16","A",1,16,16,"CAIGE 1","18:ZBS15",2,6
"NFNB '16","A",1,17,16,"Control","La Trobe",8,6
"NFNB '16","A",1,18,16,"CAIGE 1","20:ZBS15",2,6
"NFNB '16","A",1,19,16,"CAIGE 1","21:ZBS15",2,6
"NFNB '16","A",1,20,16,"CAIGE 1","23:ZBS15",4,6
"NFNB '16","A",1,21,16,"Control","VB9613",9,6
"NFNB '16","A",1,22,16,"CAIGE 1","24:ZBS15",2,6
"NFNB '16","A",1,23,16,"CAIGE 1","25:ZBS15",3,6
"NFNB '16","A",1,24,16,"Control","La Trobe",9,6
"NFNB '16","A",1,1,17,"Control","La Trobe",9,6
"NFNB '16","A",1,2,17,"CAIGE 1","28:ZBS15",6,6
"NFNB '16","A",1,3,17,"CAIGE 1","29:ZBS15",9,6
"NFNB '16","A",1,4,17,"CAIGE 1","31:ZBS15",3,6
"NFNB '16","A",1,5,17,"Control","VB9613",9,6
"NFNB '16","A",1,6,17,"CAIGE 1","32:ZBS15",3,6
"NFNB '16","A",1,7,17,"CAIGE 1","33:ZBS15",3,6
"NFNB '16","A",1,9,17,"Control","Compass",5,6
"NFNB '16","A",1,10,17,"CAIGE 1","36:ZBS15",2,6
"NFNB '16","A",1,11,17,"CAIGE 1","37:ZBS15",2,6
"NFNB '16","A",1,12,17,"CAIGE 1","38:ZBS15",2,6
"NFNB '16","A",1,13,17,"Control","VB9613",9,6
"NFNB '16","A",1,14,17,"CAIGE 1","39:ZBS15",5,6
"NFNB '16","A",1,15,17,"CAIGE 1","40:ZBS15",2,6
"NFNB '16","A",1,16,17,"CAIGE 1","42:ZBS15",8,6
"NFNB '16","A",1,17,17,"Control","Rosalind",4,6
"NFNB '16","A",1,18,17,"CAIGE 1","43:ZBS15",8,6
"NFNB '16","A",1,19,17,"CAIGE 1","44:ZBS15",3,6
"NFNB '16","A",1,20,17,"CAIGE 1","46:ZBS15",2,6
"NFNB '16","A",1,21,17,"Control","Rosalind",4,6
"NFNB '16","A",1,22,17,"CAIGE 1","47:ZBS15",2,6
"NFNB '16","A",1,23,17,"CAIGE 1","51:ZBS15",3,6
"NFNB '16","A",1,24,17,"Control","Gairdner",5,6
"NFNB '16","A",1,1,18,"Control","La Trobe",9,6
"NFNB '16","A",1,2,18,"CAIGE 1","54:ZBS15",2,6
"NFNB '16","A",1,3,18,"CAIGE 1","55:ZBS15",2,6
"NFNB '16","A",1,4,18,"CAIGE 1","56:ZBS15",2,6
"NFNB '16","A",1,5,18,"Control","Bass",8,6
"NFNB '16","A",1,6,18,"CAIGE 1","57:ZBS15",2,6
"NFNB '16","A",1,7,18,"CAIGE 1","58:ZBS15",3,6
"NFNB '16","A",1,8,18,"CAIGE 1","59:ZBS15",2,6
"NFNB '16","A",1,9,18,"Control","Compass",5,6
"NFNB '16","A",1,10,18,"CAIGE 1","61:ZBS15",2,6
"NFNB '16","A",1,11,18,"CAIGE 1","62:ZBS15",2,6
"NFNB '16","A",1,12,18,"CAIGE 1","63:ZBS15",2,6
"NFNB '16","A",1,13,18,"Control","Fathom",6,6
"NFNB '16","A",1,14,18,"CAIGE 1","64:ZBS15",6,6
"NFNB '16","A",1,15,18,"CAIGE 1","65:ZBS15",3,6
"NFNB '16","A",1,16,18,"CAIGE 1","66:ZBS15",3,6
"NFNB '16","A",1,17,18,"Control","VB9613",8,6
"NFNB '16","A",1,18,18,"CAIGE 1","67:ZBS15",2,6
"NFNB '16","A",1,19,18,"CAIGE 1","68:ZBS15",2,6
"NFNB '16","A",1,20,18,"CAIGE 1","69:ZBS15",3,6
"NFNB '16","A",1,21,18,"Control","VB9613",8,6
"NFNB '16","A",1,22,18,"CAIGE 1","70:ZBS15",2,6
"NFNB '16","A",1,23,18,"CAIGE 1","71:ZBS15",2,6
"NFNB '16","A",1,24,18,"Control","VB9613",9,6
"NFNB '16","A",1,1,19,"Control","Flinders",4,6
"NFNB '16","A",1,2,19,"CAIGE 1","72:ZBS15",2,6
"NFNB '16","A",1,3,19,"CAIGE 1","74:ZBS15",3,6
"NFNB '16","A",1,4,19,"CAIGE 1","75:ZBS15",2,6
"NFNB '16","A",1,5,19,"Control","La Trobe",7,6
"NFNB '16","A",1,6,19,"CAIGE 1","76:ZBS15",3,6
"NFNB '16","A",1,7,19,"CAIGE 1","79:ZBS15",9,6
"NFNB '16","A",1,8,19,"CAIGE 1","80:ZBS15",6,6
"NFNB '16","A",1,9,19,"Control","La Trobe",8,6
"NFNB '16","A",1,10,19,"CAIGE 1","82:ZBS15",6,6
"NFNB '16","A",1,11,19,"CAIGE 1","83:ZBS15",3,6
"NFNB '16","A",1,12,19,"CAIGE 1","84:ZBS15",3,6
"NFNB '16","A",1,13,19,"Control","Rosalind",3,6
"NFNB '16","A",1,14,19,"CAIGE 1","85:ZBS15",3,6
"NFNB '16","A",1,15,19,"CAIGE 1","86:ZBS15",3,6
"NFNB '16","A",1,16,19,"CAIGE 1","87:ZBS15",2,6
"NFNB '16","A",1,17,19,"Control","La Trobe",8,6
"NFNB '16","A",1,18,19,"CAIGE 1","88:ZBS15",2,6
"NFNB '16","A",1,19,19,"CAIGE 1","89:ZBS15",2,6
"NFNB '16","A",1,20,19,"CAIGE 1","90:ZBS15",3,6
"NFNB '16","A",1,21,19,"Control","Gairdner",5,6
"NFNB '16","A",1,22,19,"CAIGE 1","2:ZIB15",3,6
"NFNB '16","A",1,23,19,"CAIGE 1","3:ZIB15",2,6
"NFNB '16","A",1,24,19,"Control","Rosalind",3,6
"NFNB '16","B",1,25,7,"Control","Gairdner",5,6
"NFNB '16","B",1,26,7,"CAIGE 1","4:ZIB15",2,6
"NFNB '16","B",1,27,7,"CAIGE 1","6:ZIB15",2,6
"NFNB '16","B",1,28,7,"CAIGE 1","7:ZIB15",3,6
"NFNB '16","B",1,29,7,"Control","La Trobe",7,6
"NFNB '16","B",1,30,7,"CAIGE 1","8:ZIB15",5,6
"NFNB '16","B",1,31,7,"CAIGE 1","9:ZIB15",2,6
"NFNB '16","B",1,32,7,"CAIGE 1","10:ZIB15",2,6
"NFNB '16","B",1,33,7,"Control","Bass",7,6
"NFNB '16","B",1,34,7,"CAIGE 1","11:ZIB15",3,6
"NFNB '16","B",1,35,7,"CAIGE 1","13:ZIB15",6,6
"NFNB '16","B",1,36,7,"CAIGE 1","14:ZIB15",2,6
"NFNB '16","B",1,37,7,"Control","VB9613",8,6
"NFNB '16","B",1,38,7,"CAIGE 1","15:ZIB15",2,6
"NFNB '16","B",1,39,7,"CAIGE 1","16:ZIB15",2,6
"NFNB '16","B",1,40,7,"CAIGE 1","17:ZIB15",2,6
"NFNB '16","B",1,41,7,"Control","VB9613",8,6
"NFNB '16","B",1,42,7,"CAIGE 1","18:ZIB15",3,6
"NFNB '16","B",1,43,7,"CAIGE 1","19:ZIB15",2,6
"NFNB '16","B",1,44,7,"CAIGE 1","20:ZIB15",3,6
"NFNB '16","B",1,45,7,"Control","Bass",7,6
"NFNB '16","B",1,46,7,"CAIGE 1","21:ZIB15",2,6
"NFNB '16","B",1,47,7,"CAIGE 1","22:ZIB15",4,6
"NFNB '16","B",1,48,7,"Control","VB9613",9,6
"NFNB '16","B",1,25,8,"Control","VB9613",9,6
"NFNB '16","B",1,26,8,"CAIGE 1","23:ZIB15",2,6
"NFNB '16","B",1,27,8,"CAIGE 1","24:ZIB15",2,6
"NFNB '16","B",1,28,8,"CAIGE 1","1:ZIC15",6,6
"NFNB '16","B",1,29,8,"Control","Gairdner",5,6
"NFNB '16","B",1,30,8,"CAIGE 1","3:ZIC15",5,6
"NFNB '16","B",1,31,8,"CAIGE 1","4:ZIC15",8,6
"NFNB '16","B",1,32,8,"CAIGE 1","5:ZIC15",3,6
"NFNB '16","B",1,33,8,"Control","Rosalind",3,6
"NFNB '16","B",1,34,8,"CAIGE 1","6:ZIC15",3,6
"NFNB '16","B",1,35,8,"CAIGE 1","7:ZIC15",2,6
"NFNB '16","B",1,36,8,"CAIGE 1","8:ZIC15",4,6
"NFNB '16","B",1,37,8,"Control","Compass",4,6
"NFNB '16","B",1,38,8,"CAIGE 1","9:ZIC15",4,6
"NFNB '16","B",1,39,8,"CAIGE 1","10:ZIC15",2,6
"NFNB '16","B",1,40,8,"CAIGE 1","12:ZIC15",2,6
"NFNB '16","B",1,41,8,"Control","La Trobe",8,6
"NFNB '16","B",1,42,8,"CAIGE 1","13:ZIC15",2,6
"NFNB '16","B",1,43,8,"CAIGE 1","14:ZIC15",3,6
"NFNB '16","B",1,44,8,"CAIGE 1","15:ZIC15",2,6
"NFNB '16","B",1,45,8,"Control","Flinders",3,6
"NFNB '16","B",1,46,8,"CAIGE 1","16:ZIC15",2,6
"NFNB '16","B",1,47,8,"CAIGE 1","17:ZIC15",2,6
"NFNB '16","B",1,48,8,"Control","Fathom",5,6
"NFNB '16","B",1,25,9,"Control","La Trobe",9,6
"NFNB '16","B",1,26,9,"CAIGE 1","19:ZIC15",6,6
"NFNB '16","B",1,27,9,"CAIGE 1","20:ZIC15",2,6
"NFNB '16","B",1,28,9,"CAIGE 1","21:ZIC15",2,6
"NFNB '16","B",1,29,9,"Control","VB9613",9,6
"NFNB '16","B",1,30,9,"CAIGE 1","23:ZIC15",2,6
"NFNB '16","B",1,31,9,"CAIGE 1","24:ZIC15",2,6
"NFNB '16","B",1,32,9,"CAIGE 1","125:ZID14",2,6
"NFNB '16","B",1,33,9,"Control","VB9613",9,6
"NFNB '16","B",1,34,9,"CAIGE 1","1:ZIE14",2,6
"NFNB '16","B",1,35,9,"CAIGE 1","9:ZIE14",2,6
"NFNB '16","B",1,36,9,"CAIGE 1","11:ZIE14",3,6
"NFNB '16","B",1,37,9,"Control","La Trobe",8,6
